ISRG/USD,Intuitive_EQUITY_US
ROST/USD,Ross_EQUITY_US
POST/USD,Post Holdings_EQUITY_US
AGRO/USD,ROS AGRO_EQUITY_GB
TWST/USD,Twist Bioscience Corporation_EQUITY_US
ROSN/USD,Rosneft_EQUITY_GB
MKSI/USD,MKS Instruments_EQUITY_US
A2A/EUR,A2A_EQUITY_IT
EOS/USD,Eaton Vance Enhanced Equity Income Fund II_EQUITY_US
COST/USD,Costco_EQUITY_US
VOW3/EUR,Volkswagen_EQUITY_DE
ICPT/USD,Intercept_EQUITY_US
KOPN/USD,Kopin Corporation_EQUITY_US
TKWY/EUR,Takeaway.com_EQUITY_NL
ESPO/USD,VanEck Vectors Video Gaming & eSports ETF_EQUITY_US
HCP/USD,HashiCorp_EQUITY_US
LGVN/USD,Longeveron Inc_EQUITY_US
NOV/USD,National Oilwell_EQUITY_US
AMGO/GBP,Amigo_EQUITY_GB
WEEDCA/CAD,Canopy Growth_EQUITY_CA
LOWC/USD,SPDR MSCI ACWI Low Carbon Target ETF_EQUITY_US
ACWI/USD,iShares MSCI ACWI ETF_EQUITY_US
VOPA/EUR,Koninklijke Vopak_EQUITY_NL
OKTA/USD,Okta_EQUITY_US
OSTK/USD,Overstock_EQUITY_US
MKTX/USD,MarketAxesss_EQUITY_US
NKTR/USD,Nektar_EQUITY_US
NCTY/USD,The9 Limited_EQUITY_US
ESTC/USD,Elastic N.V._EQUITY_US
ALRSRU/RUB,ALROSA_EQUITY_RU
BOTZ/USD,Global X Robotics & Artificial Intelligence ETF_EQUITY_US
CSTL/USD,Castle Biosciences Inc._EQUITY_US
MTSSRU/RUB,MTS_EQUITY_RU
COUR/USD,"Coursera, Inc._EQUITY_US"
BOSN/EUR,Royal Boskalis Westminster_EQUITY_NL
BOSS/EUR,Hugo Boss_EQUITY_DE
PSTG/USD,Pure Storage_EQUITY_US
TWTR/USD,Twitter_EQUITY_US
OGZD/USD,Gazprom_EQUITY_GB
FOXA/USD,Fox - Class A_EQUITY_US
VOYA/USD,Voya Financial_EQUITY_US
ASXC/USD,"Asensus Surgical, Inc._EQUITY_US"
BTC/USDT,Bitcoin / Tether_CRYPTOCURRENCY_
CINE/GBP,Cineworld Group_EQUITY_GB
ECFZ21/EUR,Carbon Emissions Futures Dec 21_COMMODITY_US
AKZO/EUR,Akzo Nobel_EQUITY_NL
JOBS/USD,51job_EQUITY_US
JOBY/USD,Joby Aviation Inc._EQUITY_US
HSBC/USD,HSBC - USD_EQUITY_US
TSCO/USD,Tractor Supply_EQUITY_US
SCCO/USD,Southern Copper_EQUITY_US
MSCI/USD,MSCI_EQUITY_US
NOEJ/EUR,Norma Group_EQUITY_DE
ROBT/USD,First Trust Nasdaq Artificial Intelligence & Robotics ETF_EQUITY_US
BARC/GBP,Barclays_EQUITY_GB
GOCO/USD,"GoHealth, Inc._EQUITY_US"
US COTTON/USD,Cotton_COMMODITY_US
DARK/GBP,Darktrace plc_EQUITY_GB
FERG/GBP,Ferguson plc_EQUITY_GB
DOCU/USD,DocuSign_EQUITY_US
ROBO/USD,Robo Global Robotics & Automation Index ETF_EQUITY_US
DOCS/USD,Doximity Inc._EQUITY_US
CSCO/USD,Cisco_EQUITY_US
PCAR/USD,PACCAR_EQUITY_US
NOAH/USD,Noah_EQUITY_US
ALUMINUM/USD,Aluminum Spot_COMMODITY_US
DWAC/USD,Digital World Acquisition Corp._EQUITY_US
AKAM/USD,Akamai_EQUITY_US
ASAN/USD,"Asana, Inc._EQUITY_US"
OCFT/USD,OneConnect_EQUITY_US
MSFT/USD,Microsoft_EQUITY_US
ICAG/EUR,IAG - EUR_EQUITY_ES
ICAD/EUR,Icade Reit_EQUITY_FR
CSGP/USD,CoStar_EQUITY_US
DOGE/USD,DOGE/USD_CRYPTOCURRENCY_
USFD/USD,US Foods_EQUITY_US
EOAN/EUR,E.ON_EQUITY_DE
SOFI/USD,SoFi Technologies Inc._EQUITY_US
PSFE/USD,Paysafe Limited_EQUITY_US
OCDX/USD,Ortho Clinical Diagnostics Holdings plc_EQUITY_US
DWDP/USD,DuPont_EQUITY_US
SGEN/USD,Seattle_EQUITY_US
OCEAN/USD,OCEAN/USD_CRYPTOCURRENCY_
INDIA50/USD,INDIA 50_INDEX_US
FCEL/USD,"FuelCell Energy, Inc._EQUITY_US"
USDC/USD,USDC/USD_CRYPTOCURRENCY_
TCDA/USD,Tricida_EQUITY_US
VTBRRU/RUB,VTB_EQUITY_RU
GOEV/USD,Canoo Inc._EQUITY_US
USDT/USD,USDT/USD_CRYPTOCURRENCY_
CGEN/USD,Compugen Ltd._EQUITY_US
TOM2/EUR,TomTom_EQUITY_NL
ROKU/USD,Roku_EQUITY_US
SWKS/USD,Skyworks_EQUITY_US
1COV/EUR,Covestro_EQUITY_DE
WIZZ/GBP,Wizz Air_EQUITY_GB
CZ21/GBP,Cocoa No 7 Futures Dec 21_COMMODITY_US
BKKT/USD,Bakkt Holdings Inc._EQUITY_US
ASMI/EUR,ASM International NV_EQUITY_NL
COFFEE ARABICA/USD,Coffee US_COMMODITY_US
NOK/USD,Nokia - USD_EQUITY_US
CHMFRU/RUB,Severstal_EQUITY_RU
DSMN/EUR,Koninklijke DSM_EQUITY_NL
MCHI/USD,iShares MSCI China ETF_EQUITY_US
MCHP/USD,Microchip Tech_EQUITY_US
COHR/USD,Coherent_EQUITY_US
COPPER/USD,Copper_COMMODITY_US
PHORRU/RUB,PhosAgro_EQUITY_RU
DWNI/EUR,Deutsche Wohnen_EQUITY_DE
LCID/USD,"Lucid Group, Inc._EQUITY_US"
HSIC/USD,Henry Schein_EQUITY_US
SOHU/USD,Sohu.com Limited_EQUITY_US
SCHW/USD,Charles Schwab_EQUITY_US
ECIX/USD,Electric Cars Index_EQUITY_US
WKHS/USD,Workhorse Group Inc._EQUITY_US
SCHE/USD,Schwab Emerging Markets Equity ETF_EQUITY_US
COIN/USD,Coinbase_EQUITY_US
CGNX/USD,Cognex_EQUITY_US
BCH/USDT,BCH/USDT_CRYPTOCURRENCY_
DKNG/USD,DraftKings Inc._EQUITY_US
NICKEL/USD,Nickel Spot_COMMODITY_GB
BKNG/USD,Booking_EQUITY_US
CONE/USD,CyrusOne_EQUITY_US
QCOM/USD,Qualcomm_EQUITY_US
FR40/EUR,CAC 40_INDEX_FR
LKOD/USD,Lukoil_EQUITY_GB
HOOD/USD,Robinhood Markets_EQUITY_US
PGNY/USD,Progyny Inc._EQUITY_US
GOOGL/USD,GOOGL_EQUITY_US
TGNA/USD,Tegna_EQUITY_US
SSNC/USD,SS&C Tech_EQUITY_US
